"filename", "language", "Go Module File", "Go", "Markdown", "YAML", "Shell Script", "Makefile", "RISC-V Assembly", "TOML", "Protocol Buffers", "JSON", "Properties", "C", "Docker", "Go Checksum File", "Go Template File", "comment", "blank", "total"
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/char_stream.go", "Go", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/common_token_factory.go", "Go", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 57
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/common_token_stream.go", "Go", 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 105, 448
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/dfa.go", "Go", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 37, 171
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/dfa_serializer.go", "Go", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34, 159
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/dfa_state.go", "Go", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 30, 172
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/diagnostic_error_listener.go", "Go", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 17, 112
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/error_listener.go", "Go", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 109
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/error_strategy.go", "Go", 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 432, 53, 763
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/errors.go", "Go", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 53, 242
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/antlr/antlr4/runtime/Go/antlr/file_stream.go", "Go", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 50
