Date : 2023-07-09 13:48:23
Directory : /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager
Total : 5511 files,  1165817 codes, 253770 comments, 137989 blanks, all 1557576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/schemaconv/proto_models.go                                                             | Go               |        126 |         26 |         27 |        179 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/schemaconv/smd.go                                                                      | Go               |        272 |         27 |         39 |        338 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/schemamutation/walker.go                                                               | Go               |        432 |         28 |         60 |        520 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/component.go                                                                     | Go               |         13 |         30 |          5 |         48 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/encoding.go                                                                      | Go               |         54 |         21 |         10 |         85 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/example.go                                                                       | Go               |         64 |         21 |         12 |         97 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/external_documentation.go                                                        | Go               |         51 |         18 |          9 |         78 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/fuzz.go                                                                          | Go               |        229 |         11 |         15 |        255 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/header.go                                                                        | Go               |         71 |         31 |         10 |        112 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/k8s.io/kube-openapi/pkg/spec3/media_type.go                                                                    | Go               |         53 |         24 |         10 |         87 |
