Date : 2023-07-09 13:48:23
Directory : /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager
Total : 5511 files,  1165817 codes, 253770 comments, 137989 blanks, all 1557576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/pool.go                                                                            | Go               |         33 |          2 |          8 |         43 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect.go                                                                         | Go               |        291 |         16 |         31 |        338 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_array.go                                                                   | Go               |         92 |          0 |         13 |        105 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_dynamic.go                                                                 | Go               |         62 |          0 |          9 |         71 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_extension.go                                                               | Go               |        384 |         43 |         57 |        484 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_json_number.go                                                             | Go               |         92 |          3 |         18 |        113 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_json_raw_message.go                                                        | Go               |         64 |          0 |         13 |         77 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_map.go                                                                     | Go               |        318 |          0 |         29 |        347 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_marshaler.go                                                               | Go               |        201 |          3 |         22 |        226 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_native.go                                                                  | Go               |        396 |          0 |         58 |        454 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_optional.go                                                                | Go               |        105 |          5 |         20 |        130 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_slice.go                                                                   | Go               |         90 |          0 |         10 |        100 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_struct_decoder.go                                                          | Go               |      1,058 |          0 |         40 |      1,098 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/reflect_struct_encoder.go                                                          | Go               |        189 |          0 |         23 |        212 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/stream.go                                                                          | Go               |        149 |         31 |         31 |        211 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/stream_float.go                                                                    | Go               |         98 |          6 |          8 |        112 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/stream_int.go                                                                      | Go               |        166 |         10 |         15 |        191 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/stream_str.go                                                                      | Go               |        328 |         36 |          9 |        373 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/json-iterator/go/test.sh                                                                            | Shell Script     |          9 |          1 |          3 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mailru/easyjson/buffer/pool.go                                                                      | Go               |        204 |         29 |         46 |        279 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mailru/easyjson/jlexer/bytestostr.go                                                                | Go               |         10 |         10 |          5 |         25 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mailru/easyjson/jlexer/bytestostr_nounsafe.go                                                       | Go               |          4 |          6 |          4 |         14 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mailru/easyjson/jlexer/error.go                                                                     | Go               |         10 |          2 |          4 |         16 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mailru/easyjson/jlexer/lexer.go                                                                     | Go               |      1,036 |         59 |        150 |      1,245 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mailru/easyjson/jwriter/writer.go                                                                   | Go               |        310 |         24 |         72 |        406 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/matttproud/golang_protobuf_extensions/pbutil/Makefile                                               | Makefile         |          5 |          0 |          3 |          8 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/matttproud/golang_protobuf_extensions/pbutil/decode.go                                              | Go               |         34 |         34 |          8 |         76 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/matttproud/golang_protobuf_extensions/pbutil/doc.go                                                 | Go               |          1 |         14 |          2 |         17 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/matttproud/golang_protobuf_extensions/pbutil/encode.go                                              | Go               |         20 |         19 |          8 |         47 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mitchellh/mapstructure/CHANGELOG.md                                                                 | Markdown         |         46 |          0 |         28 |         74 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mitchellh/mapstructure/README.md                                                                    | Markdown         |         34 |          0 |         13 |         47 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mitchellh/mapstructure/decode_hooks.go                                                              | Go               |        193 |         35 |         29 |        257 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mitchellh/mapstructure/error.go                                                                     | Go               |         38 |          4 |          9 |         51 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/mitchellh/mapstructure/mapstructure.go                                                              | Go               |        898 |        371 |        194 |      1,463 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/README.md                                                                                 | Markdown         |         26 |          0 |         11 |         37 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/ascii.go                                                                                  | Go               |         61 |          2 |          4 |         67 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/proxy.go                                                                                  | Go               |         61 |         15 |         13 |         89 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/tc.go                                                                                     | Go               |         14 |          2 |          5 |         21 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/term.go                                                                                   | Go               |         64 |         21 |         16 |        101 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/term_windows.go                                                                           | Go               |        154 |         36 |         38 |        228 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/termios.go                                                                                | Go               |         23 |          6 |          8 |         37 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/termios_bsd.go                                                                            | Go               |          8 |          2 |          4 |         14 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/termios_nonbsd.go                                                                         | Go               |          8 |          2 |          4 |         14 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/windows/ansi_reader.go                                                                    | Go               |        184 |         32 |         37 |        253 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/windows/ansi_writer.go                                                                    | Go               |         41 |          6 |         11 |         58 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/windows/console.go                                                                        | Go               |         26 |          6 |          9 |         41 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/windows/doc.go                                                                            | Go               |          1 |          3 |          2 |          6 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/moby/term/winsize.go                                                                                | Go               |         13 |          4 |          5 |         22 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/.travis.yml                                                                    | YAML             |         10 |          0 |          5 |         15 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/README.md                                                                      | Markdown         |         40 |          0 |          9 |         49 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/executor.go                                                                    | Go               |          5 |          7 |          3 |         15 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/go_above_19.go                                                                 | Go               |          8 |          3 |          5 |         16 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/go_below_19.go                                                                 | Go               |         22 |          5 |          7 |         34 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/log.go                                                                         | Go               |          8 |          2 |          3 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/test.sh                                                                        | Shell Script     |          9 |          1 |          3 |         13 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/concurrent/unbounded_executor.go                                                          | Go               |         90 |         19 |         11 |        120 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/.travis.yml                                                                      | YAML             |         11 |          0 |          5 |         16 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/Gopkg.toml                                                                       | TOML             |          4 |         25 |          3 |         32 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/README.md                                                                        | Markdown         |         53 |          0 |         18 |         71 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/go_above_118.go                                                                  | Go               |         14 |          5 |          4 |         23 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/go_above_19.go                                                                   | Go               |          9 |          3 |          6 |         18 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/go_below_118.go                                                                  | Go               |         12 |          5 |          4 |         21 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/reflect2.go                                                                      | Go               |        256 |         13 |         32 |        301 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/reflect2_amd64.s                                                                 | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/reflect2_kind.go                                                                 | Go               |         26 |          1 |          4 |         31 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_386.s                                                                   | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_amd64p32.s                                                              | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_arm.s                                                                   | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_arm64.s                                                                 | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_mips64x.s                                                               | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_mipsx.s                                                                 | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_ppc64x.s                                                                | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/relfect2_s390x.s                                                                 | RISC-V Assembly  |          0 |          0 |          1 |          1 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/safe_field.go                                                                    | Go               |         45 |          0 |         14 |         59 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/safe_map.go                                                                      | Go               |         85 |          0 |         17 |        102 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/safe_slice.go                                                                    | Go               |         74 |          0 |         19 |         93 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/safe_struct.go                                                                   | Go               |         24 |          0 |          6 |         30 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/safe_type.go                                                                     | Go               |         60 |          0 |         19 |         79 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/type_map.go                                                                      | Go               |         52 |          7 |         12 |         71 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_array.go                                                                  | Go               |         55 |          0 |         11 |         66 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_eface.go                                                                  | Go               |         49 |          0 |         11 |         60 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_field.go                                                                  | Go               |         60 |          0 |         15 |         75 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_iface.go                                                                  | Go               |         54 |          0 |         11 |         65 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_link.go                                                                   | Go               |         33 |         31 |         13 |         77 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_map.go                                                                    | Go               |        109 |          0 |         22 |        131 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_ptr.go                                                                    | Go               |         38 |          0 |          9 |         47 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_slice.go                                                                  | Go               |        151 |          1 |         26 |        178 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_struct.go                                                                 | Go               |         49 |          0 |         11 |         60 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/modern-go/reflect2/unsafe_type.go                                                                   | Go               |         70 |          0 |         16 |         86 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/munnerz/goautoneg/Makefile                                                                          | Makefile         |          9 |          0 |          5 |         14 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/munnerz/goautoneg/autoneg.go                                                                        | Go               |        125 |         44 |         21 |        190 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/.travis.yml                                                                              | YAML             |          9 |          0 |          2 |         11 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/Makefile                                                                                 | Makefile         |         33 |          0 |         12 |         45 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/README.md                                                                                | Markdown         |         44 |          0 |         16 |         60 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/appveyor.yml                                                                             | YAML             |         19 |          6 |          8 |         33 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/errors.go                                                                                | Go               |        144 |        123 |         22 |        289 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/go113.go                                                                                 | Go               |          9 |         24 |          6 |         39 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/pkg/errors/stack.go                                                                                 | Go               |        124 |         37 |         17 |        178 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/README.md                                                       | Markdown         |          1 |          0 |          1 |          2 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/build_info_collector.go                                         | Go               |         19 |         16 |          4 |         39 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collector.go                                                    | Go               |         31 |         89 |          9 |        129 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collectors/collectors.go                                        | Go               |          5 |         32 |          4 |         41 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collectors/dbstats_collector.go                                 | Go               |         93 |         16 |         11 |        120 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collectors/expvar_collector.go                                  | Go               |          5 |         49 |          4 |         58 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collectors/go_collector_go116.go                                | Go               |          5 |         40 |          5 |         50 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collectors/go_collector_latest.go                               | Go               |         61 |         83 |         17 |        161 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/collectors/process_collector.go                                 | Go               |         14 |         38 |          5 |         57 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/counter.go                                                      | Go               |        163 |        133 |         33 |        329 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/desc.go                                                         | Go               |        109 |         68 |         13 |        190 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/doc.go                                                          | Go               |          1 |        208 |          2 |        211 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/expvar_collector.go                                             | Go               |         62 |         18 |          7 |         87 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/fnv.go                                                          | Go               |         20 |         16 |          7 |         43 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/gauge.go                                                        | Go               |        141 |        121 |         30 |        292 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/get_pid.go                                                      | Go               |          8 |         14 |          5 |         27 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/get_pid_gopherjs.go                                             | Go               |          6 |         14 |          4 |         24 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/go_collector.go                                                 | Go               |        249 |         20 |         13 |        282 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/go_collector_go116.go                                           | Go               |         83 |         28 |         12 |        123 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/go_collector_latest.go                                          | Go               |        382 |        129 |         58 |        569 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/histogram.go                                                    | Go               |        865 |        517 |        103 |      1,485 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/internal/almost_equal.go                                        | Go               |         28 |         28 |          5 |         61 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/internal/difflib.go                                             | Go               |        405 |        211 |         39 |        655 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/internal/go_collector_options.go                                | Go               |         11 |         17 |          5 |         33 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/internal/go_runtime_metrics.go                                  | Go               |         72 |         57 |         14 |        143 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/internal/metric.go                                              | Go               |         58 |         30 |         14 |        102 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/labels.go                                                       | Go               |         52 |         22 |         15 |         89 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/metric.go                                                       | Go               |        123 |        106 |         28 |        257 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/num_threads.go                                                  | Go               |          6 |         15 |          5 |         26 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/num_threads_gopherjs.go                                         | Go               |          4 |         15 |          4 |         23 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/observer.go                                                     | Go               |         20 |         37 |          8 |         65 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/process_collector.go                                            | Go               |        114 |         36 |         15 |        165 |
| /Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/vendor/github.com/prometheus/client_golang/prometheus/process_collector_js.go                                         | Go               |          7 |         15 |          5 |         27 |
